term_localName,label,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type
tcr,taxon completeness reported concept scheme,,a SKOS concept scheme for categorizing taxon completeness reporting,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
tcr00,not reported,tcr,Taxonomic completeness was not assessed or reported for the dwc:Event.,,,,,notReported,http://www.w3.org/2004/02/skos/core#Concept
tcr01,reported complete,tcr,"Taxonomic completeness was assessed and reported for the dwc:Event and, based on the taxonomic scope, the protocols used and the effort, the dwc:Event yielded a complete list of expected species.",,,,,reportedComplete,http://www.w3.org/2004/02/skos/core#Concept
tcr02,reported incomplete,tcr,"Taxonomic completeness was assessed and reported for the dwc:Event and, based on the taxonomic scope, the protocols used and the effort, the dwc:Event did not yield a complete list of expected species.",,,,,reportedIncomplete,http://www.w3.org/2004/02/skos/core#Concept
